,score,f_mother_age,f_mother_education_level,f_number_of_tech_at_home,f_extent_of_books_at_home,f_ESCS,f_frequency_of_books_at_home,f_extent_of_interest_in_interview,f_frequency_of_support_at_home
85,0.6423101945844553,0.4423076923076923,0.75,0.15,0.25,0.4557777742175936,0.8888888888888888,0.2222222222222222,0.9166666666666666
86,0.24293786445197665,0.36538461538461536,0.375,0.35,0.25,0.41188926402894915,0.0,0.7777777777777777,0.9166666666666666
87,0.3977392083908445,0.38461538461538464,0.75,0.25,0.25,0.28845861191057354,0.6666666666666666,1.0,0.9166666666666666
88,0.5042530981893403,0.1346153846153846,0.25,0.4,0.0,0.23951828639833334,0.7777777777777777,0.7777777777777777,1.0
89,0.37958704401412147,0.3269230769230769,0.25,0.25,0.25,0.29399987217790086,0.6666666666666666,1.0,0.8333333333333334
91,0.2370789842115604,0.40384615384615385,0.125,0.15,0.25,0.17945413072962133,0.4444444444444443,0.7777777777777777,1.0
93,0.7262303787520249,0.34615384615384615,0.375,0.25,0.75,0.5000896132830246,1.0,0.5555555555555555,0.8333333333333334
94,0.3072259883375368,0.3076923076923077,0.25,0.2,0.0,0.23951828639833334,0.111111111111111,1.0,0.8333333333333334
96,0.618880543160876,0.40384615384615385,0.5,0.25,1.0,0.7036046693309478,0.7777777777777777,0.4444444444444443,0.75
97,0.6534328147956844,0.5769230769230769,1.0,0.25,0.75,0.8676581320436739,0.4444444444444443,0.6666666666666666,1.0
99,0.597090500863131,0.5,0.625,0.45,1.0,0.8017877178122162,0.6666666666666666,0.4444444444444443,1.0
100,0.22576236032043973,0.3076923076923077,0.375,0.1,0.0,0.22764047812355784,0.4444444444444443,1.0,0.9166666666666666
101,0.20328326514371717,0.3269230769230769,0.125,0.3,0.5,0.5583067740716834,0.6666666666666666,0.6666666666666666,0.9166666666666666
102,0.44894922911340324,0.5384615384615384,0.375,0.35,0.25,0.35998236330658206,0.7777777777777777,0.5555555555555555,1.0
104,0.20512568225657177,0.3076923076923077,0.375,0.05,0.0,0.3262167948935933,0.7777777777777777,0.8888888888888888,0.9166666666666666
105,0.616980357436334,0.4807692307692308,0.125,0.4,0.25,0.19502620439167107,0.5555555555555555,1.0,1.0
106,0.19310857533335887,0.15384615384615385,0.875,0.45,1.0,0.8017877178122162,0.8888888888888888,0.7777777777777777,1.0
107,0.45863134110913256,0.5384615384615384,0.625,0.25,0.25,0.35998236330658206,0.7777777777777777,0.8888888888888888,0.75
108,0.38262669243496866,0.4807692307692308,0.125,0.25,0.5,0.4404173822206351,0.6666666666666666,0.5555555555555555,1.0
109,0.5381055046381708,0.19230769230769232,0.25,0.3,0.25,0.403004405038947,0.4444444444444443,0.6666666666666666,0.9166666666666666
110,0.41123080506584386,0.4423076923076923,0.75,0.4,1.0,0.7036046693309478,0.8888888888888888,1.0,0.8333333333333334
111,0.4313398425480963,0.3269230769230769,0.125,0.1,0.0,0.15127659306904484,0.5555555555555555,0.7777777777777777,0.9166666666666666
112,0.4997795833987221,0.34615384615384615,0.75,0.15,0.25,0.41188926402894915,0.5555555555555555,0.5555555555555555,1.0
114,0.6232802253408348,0.5961538461538461,0.75,0.2,1.0,0.5726245718519545,1.0,0.8888888888888888,0.75
116,0.3814523214332053,0.36538461538461536,0.75,0.35,0.5,0.5390405211558494,0.8888888888888888,1.0,1.0
117,0.4613892517018572,0.6153846153846154,0.25,0.15,0.25,0.28361846102537097,0.5555555555555555,0.4444444444444443,1.0
118,0.46471357271986985,0.3269230769230769,0.5,0.15,0.0,0.3662925716927798,0.5555555555555555,0.4444444444444443,0.9166666666666666
119,0.1502309817698326,0.09615384615384616,0.5,0.15,0.25,0.3740579020328021,0.2222222222222222,0.7777777777777777,0.9166666666666666
120,0.25678132448907215,0.4423076923076923,0.375,0.15,0.0,0.39893323672601094,0.0,0.3333333333333333,1.0
121,0.355151693577984,0.3076923076923077,0.375,0.15,0.0,0.39893323672601094,0.7777777777777777,1.0,1.0
122,0.5649836641487378,0.25,0.5,0.3,0.25,0.49344382881968013,0.5555555555555555,0.7777777777777777,0.8333333333333334
123,0.54811739199741,0.34615384615384615,0.375,0.3,0.25,0.43634621390769907,0.6666666666666666,1.0,1.0
124,0.45095614775419124,0.40384615384615385,0.25,0.15,0.25,0.34071609316405005,0.6666666666666666,0.8888888888888888,0.9166666666666666
125,0.48406883794267136,0.3269230769230769,0.375,0.35,0.5,0.43003598829480333,1.0,0.8888888888888888,0.75
126,0.6118051239213951,0.4230769230769231,0.75,0.45,1.0,0.6607642831290506,0.7777777777777777,1.0,0.5833333333333334
127,0.5077033053531423,0.46153846153846156,0.75,0.35,0.75,0.7138722981431516,0.8888888888888888,1.0,1.0
128,0.765825046987197,0.4807692307692308,0.625,0.35,0.5,0.5583067740716834,0.6666666666666666,1.0,1.0
129,0.34075371665330056,0.36538461538461536,0.25,0.2,0.0,0.31588217145284636,0.5555555555555555,1.0,1.0
130,0.7210741440051008,0.3076923076923077,0.375,0.25,0.25,0.4689868789409302,0.8888888888888888,0.5555555555555555,0.75
131,0.6996691742980958,0.4230769230769231,0.75,0.2,0.75,0.5431116722420876,0.8888888888888888,0.0,0.9166666666666666
132,0.6417198426222378,0.4423076923076923,0.375,0.05,0.25,0.5416565675149609,0.8888888888888888,1.0,1.0
133,0.7869475065584365,0.5,0.5,0.25,0.75,0.6854580656519798,0.7777777777777777,0.5555555555555555,0.9166666666666666
134,0.5750656770419506,0.5192307692307693,0.25,0.4,0.25,0.28361846102537097,0.8888888888888888,0.6666666666666666,0.75
135,0.7647697658239658,0.36538461538461536,0.25,0.3,0.5,0.3017652197446211,0.3333333333333333,0.7777777777777777,0.6666666666666666
136,0.8012092484149158,0.5,0.375,0.45,0.5,0.43003598829480333,0.111111111111111,0.5555555555555555,0.9166666666666666
138,0.6333186800829892,0.5192307692307693,0.125,0.4,0.5,0.4208005487736917,0.5555555555555555,0.6666666666666666,0.8333333333333334
140,0.4903390492336855,0.40384615384615385,0.375,0.1,0.25,0.3080754281308189,0.8888888888888888,1.0,1.0
141,0.4499858204316768,0.15384615384615385,0.25,0.2,0.25,0.465292699687146,0.6666666666666666,0.8888888888888888,1.0
143,0.5633945639427479,0.40384615384615385,0.625,0.1,0.75,0.4808233775938886,0.5555555555555555,0.5555555555555555,0.9166666666666666
144,0.6225832949239,0.36538461538461536,0.375,0.2,0.5,0.45598945588268486,0.5555555555555555,1.0,0.6666666666666666
145,0.503169396104851,0.4807692307692308,0.25,0.35,0.75,0.5000896132830246,0.4444444444444443,0.7777777777777777,1.0
147,0.5787310491150591,0.34615384615384615,0.875,0.45,0.0,0.3678623717752268,0.4444444444444443,0.6666666666666666,0.9166666666666666
148,0.5488720910260324,0.40384615384615385,0.625,0.5,1.0,0.8017877178122162,1.0,0.5555555555555555,0.9166666666666666
149,0.19441979924944056,0.46153846153846156,0.75,0.15,0.75,0.4341071393810413,0.7777777777777777,1.0,0.9166666666666666
152,0.6819346738946424,0.3269230769230769,0.375,0.3,0.5,0.5390405211558494,0.4444444444444443,0.7777777777777777,0.75
153,0.6802178340045202,0.46153846153846156,0.625,0.3,0.5,0.6259568784740868,0.8888888888888888,0.2222222222222222,0.5
154,0.42557394814788263,0.4230769230769231,0.125,0.2,0.25,0.17945413072962133,0.111111111111111,0.6666666666666666,0.4166666666666667
155,0.5198337870383299,0.4423076923076923,0.125,0.5,0.25,0.4155834432827334,1.0,0.5555555555555555,0.9166666666666666
156,0.5114021955779517,0.4230769230769231,0.5,0.15,0.25,0.6180204353427761,0.7777777777777777,1.0,0.6666666666666666
157,0.36695379005341894,0.4807692307692308,0.25,0.25,0.25,0.23171149139621186,0.7777777777777777,0.7777777777777777,1.0
160,0.41694124777729863,0.5192307692307693,0.25,0.4,0.25,0.33552541342783215,0.8888888888888888,1.0,1.0
161,0.3660517347265352,0.21153846153846154,0.375,0.2,0.25,0.5416565675149609,0.8888888888888888,1.0,1.0
162,0.5634459996317638,0.46153846153846156,0.75,0.2,0.5,0.4730580472538663,0.8888888888888888,0.3333333333333333,0.75
163,0.44053617303645426,0.40384615384615385,0.625,0.15,0.25,0.47936827286676204,0.5555555555555555,1.0,1.0
164,0.6775691277124989,0.4423076923076923,0.75,0.3,0.5,0.8598928533837455,0.8888888888888888,0.2222222222222222,0.8333333333333334
165,0.7134902374135478,0.5384615384615384,0.5,0.2,0.5,0.6880741120110913,1.0,0.8888888888888888,1.0
166,0.6272063284741796,0.3076923076923077,0.5,0.95,0.75,0.5868348578099734,0.6666666666666666,1.0,1.0
167,0.4328178849150401,0.36538461538461536,0.5,0.25,0.25,0.5453507467687452,0.7777777777777777,0.4444444444444443,0.9166666666666666
169,0.3731192764280586,0.3076923076923077,0.125,0.25,0.25,0.11716583608142235,0.8888888888888888,1.0,1.0
171,0.640518286391445,0.2692307692307692,0.5,0.5,0.0,0.39224602205396336,0.5555555555555555,0.4444444444444443,0.8333333333333334
173,0.6607008475612997,0.3076923076923077,0.25,0.8,0.5,0.5353463419020653,1.0,1.0,1.0
174,0.4089977547472206,0.3269230769230769,0.25,0.15,0.25,0.29399987217790086,0.6666666666666666,0.5555555555555555,0.8333333333333334
176,0.5357834844790877,0.2692307692307692,0.25,0.15,0.25,0.29399987217790086,0.7777777777777777,1.0,1.0
177,0.35611259874725526,0.28846153846153844,0.25,0.15,0.5,0.3017652197446211,0.7777777777777777,1.0,0.9166666666666666
178,0.6923486246127649,0.4423076923076923,0.625,0.6,0.5,0.6880741120110913,0.8888888888888888,0.7777777777777777,1.0
179,0.5374085742212359,0.4230769230769231,0.5,0.2,0.0,0.4233901866047608,0.3333333333333333,0.3333333333333333,0.9166666666666666
181,0.5308645026400564,0.6346153846153846,1.0,0.35,1.0,1.0,0.111111111111111,0.8888888888888888,0.75
182,0.30020339494082887,0.4423076923076923,0.25,0.25,0.0,0.2239462127362836,0.6666666666666666,1.0,1.0
183,0.24233036726008733,0.46153846153846156,0.125,0.05,0.0,0.2184049007888622,0.2222222222222222,0.6666666666666666,0.75
184,0.7446848243401714,0.4807692307692308,0.75,0.6,0.5,0.6259568784740868,0.7777777777777777,0.3333333333333333,0.8333333333333334
185,0.3072140947998364,0.5384615384615384,0.25,0.35,0.25,0.23171149139621186,0.5555555555555555,0.6666666666666666,0.0833333333333333
186,0.48396797456451124,0.6346153846153846,0.125,0.25,0.25,0.17945413072962133,0.0,0.4444444444444443,0.4166666666666667
187,0.8423219645529327,0.5192307692307693,0.75,0.4,1.0,0.8017877178122162,1.0,1.0,0.9166666666666666
189,0.6792383934518197,0.4807692307692308,0.5,0.4,1.0,0.8281814308943258,0.8888888888888888,0.2222222222222222,0.4166666666666667
190,0.2338553721101793,0.36538461538461536,0.125,0.4,0.25,0.29399987217790086,0.5555555555555555,0.7777777777777777,1.0
193,0.6605985940293824,0.5,0.625,0.3,0.5,0.5634974538079014,0.7777777777777777,1.0,1.0
195,0.5651174278324845,0.40384615384615385,0.75,0.5,0.5,0.5436931766599604,0.4444444444444443,0.6666666666666666,0.9166666666666666
196,0.48361085951044347,0.3076923076923077,0.375,0.25,0.5,0.5634974538079014,0.7777777777777777,0.2222222222222222,0.8333333333333334
197,0.08404576139030205,0.5576923076923077,0.375,0.3,0.75,0.7581276853192185,1.0,0.7777777777777777,1.0
198,0.31913806142131795,0.38461538461538464,0.25,0.1,0.5,0.4055790384160534,0.4444444444444443,1.0,0.9166666666666666
199,0.17020733679903813,0.17307692307692307,0.375,0.1,0.25,0.3080754281308189,0.6666666666666666,0.6666666666666666,1.0
200,0.5393033537922776,0.34615384615384615,0.375,0.15,0.5,0.43003598829480333,0.5555555555555555,0.5555555555555555,0.75
202,0.555123921395146,0.23076923076923078,0.375,0.45,0.5,0.3677476764199063,0.6666666666666666,1.0,0.9166666666666666
204,0.5165327897111321,0.3076923076923077,0.375,0.15,0.5,0.4819429062438685,1.0,1.0,0.8333333333333334
205,0.7369490820660279,0.3269230769230769,0.25,0.3,0.5,0.3677476764199063,1.0,0.2222222222222222,0.5
206,0.5249151079438947,0.5576923076923077,0.375,0.3,0.75,0.5519965484587877,0.8888888888888888,1.0,1.0
208,0.21797471897269496,0.28846153846153844,0.25,0.45,0.25,0.47936827286676204,0.6666666666666666,0.8888888888888888,0.9166666666666666
209,0.7626874699572327,0.40384615384615385,0.375,0.25,0.5,0.3677476764199063,0.5555555555555555,0.3333333333333333,0.75
210,0.6562840201516689,0.40384615384615385,0.25,0.1,0.25,0.465292699687146,0.111111111111111,0.8888888888888888,0.8333333333333334
211,0.43673780958724173,0.4807692307692308,0.25,0.45,0.75,0.36143745080701056,0.111111111111111,0.7777777777777777,0.6666666666666666
212,0.3782361234851958,0.36538461538461536,0.25,0.25,0.25,0.29399987217790086,0.2222222222222222,1.0,0.75
213,0.2001368838066241,0.5384615384615384,0.25,0.15,0.25,0.37036374000571587,0.4444444444444443,1.0,1.0
214,0.43998397307179493,0.4423076923076923,0.5,0.5,0.5,0.5634974538079014,0.5555555555555555,1.0,0.6666666666666666
216,0.4293485245216944,0.4807692307692308,0.625,0.2,0.25,0.5380414415783239,0.7777777777777777,0.6666666666666666,0.5833333333333334
217,0.36999544647413757,0.5576923076923077,0.625,0.5,1.0,0.8017877178122162,0.8888888888888888,1.0,0.8333333333333334
218,0.45286946270866213,0.5384615384615384,0.25,0.35,0.25,0.4689868789409302,0.3333333333333333,1.0,0.9166666666666666
220,0.08272295285957718,0.17307692307692307,0.25,0.15,0.0,0.16165791808808463,0.3333333333333333,0.6666666666666666,0.8333333333333334
221,0.7338130496513495,0.4423076923076923,0.875,0.35,1.0,0.8017877178122162,0.7777777777777777,1.0,1.0
222,0.3071828935710641,0.5769230769230769,0.625,0.25,0.75,0.5431116722420876,0.8888888888888888,1.0,1.0
223,0.2472326672540324,0.36538461538461536,0.375,0.2,0.0,0.3003100805640986,0.2222222222222222,0.5555555555555555,1.0
224,0.6317145971087273,0.38461538461538464,0.375,0.2,0.75,0.5571872454217036,0.6666666666666666,0.8888888888888888,0.9166666666666666
225,0.525643548512659,0.5,0.625,0.2,0.25,0.5380414415783239,0.2222222222222222,1.0,0.6666666666666666
226,0.407786312978599,0.4423076923076923,0.25,0.25,0.5,0.5353463419020653,0.4444444444444443,1.0,1.0
227,0.5908689449536182,0.5576923076923077,0.625,0.4,1.0,0.8017877178122162,0.8888888888888888,0.7777777777777777,1.0
228,0.5554492173743271,0.5,0.625,0.15,0.25,0.28845861191057354,0.2222222222222222,0.4444444444444443,0.75
229,0.5520144563633825,0.5576923076923077,0.625,0.5,0.75,0.6854580656519798,0.7777777777777777,0.8888888888888888,0.4166666666666667
231,0.4998035249356513,0.46153846153846156,0.375,0.25,0.25,0.35998236330658206,0.8888888888888888,0.8888888888888888,0.9166666666666666
232,0.5242875307532904,0.46153846153846156,0.5,0.3,0.25,0.7898391078086383,1.0,0.4444444444444443,0.8333333333333334
235,0.5831418525250753,0.4230769230769231,0.5,0.05,0.5,0.6880741120110913,0.6666666666666666,0.6666666666666666,0.9166666666666666
236,0.44785301564509933,0.28846153846153844,0.125,0.3,0.75,0.6283603990599047,0.7777777777777777,1.0,1.0
237,0.5530181473760692,0.4423076923076923,0.75,0.5,0.25,0.4170799609918651,0.6666666666666666,1.0,1.0
238,0.34320811034237325,0.25,0.125,0.4,0.25,0.29399987217790086,0.3333333333333333,0.6666666666666666,1.0
239,0.38126480513751404,0.2692307692307692,0.375,0.2,0.0,0.3003100805640986,0.3333333333333333,0.8888888888888888,0.6666666666666666
240,0.6161606301041811,0.36538461538461536,0.5,0.4,0.5,0.5167812328217521,0.4444444444444443,0.6666666666666666,0.9166666666666666
241,0.8602106175619052,0.3076923076923077,0.25,0.2,0.0,0.15127659306904484,0.4444444444444443,1.0,0.9166666666666666
243,0.6420970376750204,0.36538461538461536,0.75,0.6,1.0,0.7312759143371435,0.7777777777777777,0.111111111111111,0.8333333333333334
244,0.7313106184268896,0.38461538461538464,0.25,0.45,0.0,0.39893323672601094,0.4444444444444443,0.6666666666666666,1.0
246,0.4567308464615336,0.4807692307692308,0.5,0.15,0.5,0.48563708549765267,0.8888888888888888,0.8888888888888888,0.8333333333333334
250,0.5257011626628179,0.5,0.25,0.3,0.25,0.4689868789409302,0.6666666666666666,1.0,0.9166666666666666
251,0.6830143599793888,0.4807692307692308,0.5,0.05,0.5,0.5167812328217521,0.8888888888888888,0.4444444444444443,0.9166666666666666
252,0.5326636705249097,0.5,0.875,0.35,1.0,1.0,0.6666666666666666,0.111111111111111,0.75
253,0.730136710809712,0.23076923076923078,0.25,0.45,0.5,0.35367212046698826,0.5555555555555555,1.0,0.9166666666666666
254,0.5302664276014101,0.36538461538461536,0.625,0.15,0.75,0.7138722981431516,0.6666666666666666,0.4444444444444443,0.75
255,0.4946336975742126,0.19230769230769232,0.375,0.3,1.0,0.5805246494237757,0.6666666666666666,0.7777777777777777,0.8333333333333334
256,0.3984061732712358,0.36538461538461536,0.625,0.5,0.25,0.35998236330658206,0.7777777777777777,0.6666666666666666,1.0
257,0.3673467401821164,0.2692307692307692,0.375,0.15,0.25,0.37036374000571587,0.5555555555555555,0.7777777777777777,0.5833333333333334
259,0.5496742097439274,0.3076923076923077,0.25,0.35,0.25,0.22133016637717204,0.111111111111111,0.3333333333333333,0.8333333333333334
260,0.3409585326401924,0.25,0.125,0.15,0.25,0.22133016637717204,0.3333333333333333,1.0,0.9166666666666666
261,0.7740087276942107,0.7115384615384616,0.125,0.15,1.0,0.5609078332035302,0.5555555555555555,0.8888888888888888,1.0
263,0.7096736475039636,0.5,0.75,0.6,1.0,0.7312759143371435,1.0,1.0,0.75
264,0.5786703457343286,0.4423076923076923,0.375,0.1,0.25,0.44672759060683287,0.5555555555555555,0.6666666666666666,1.0
265,0.30985368786167167,0.4423076923076923,0.625,0.4,0.75,0.48470915218288974,0.5555555555555555,0.7777777777777777,0.8333333333333334
266,0.7025041611935798,0.5,0.25,0.25,0.25,0.3859358136677656,0.111111111111111,0.6666666666666666,0.9166666666666666
268,0.7194811822608965,0.4230769230769231,0.75,0.2,1.0,0.7658929639791467,0.8888888888888888,1.0,0.25
269,0.612677677096321,0.6538461538461539,0.125,0.25,1.0,0.32732669381938806,0.7777777777777777,0.3333333333333333,0.75
270,0.3178555673495514,0.4230769230769231,0.5,0.2,0.5,0.5583067740716834,0.111111111111111,1.0,1.0
271,0.7048615530427068,0.5,0.75,0.55,0.5,0.5390405211558494,1.0,1.0,0.6666666666666666
272,0.4859183602858404,0.4807692307692308,0.5,0.15,0.25,0.3740579020328021,0.3333333333333333,0.3333333333333333,0.25
273,0.5331957904908541,0.4230769230769231,0.25,0.1,0.5,0.40927321766983765,0.5555555555555555,1.0,0.8333333333333334
274,0.7429712281421491,0.38461538461538464,0.75,0.25,0.25,0.403004405038947,0.4444444444444443,0.8888888888888888,1.0
275,0.4019088973547537,0.15384615384615385,0.375,0.35,0.0,0.23802180314259763,0.6666666666666666,0.6666666666666666,0.75
276,0.8096932023334812,0.5576923076923077,0.25,0.35,0.5,0.5353463419020653,0.5555555555555555,1.0,1.0
277,0.3477384669755074,0.21153846153846154,0.25,0.15,0.0,0.3952390574722267,0.2222222222222222,0.6666666666666666,0.9166666666666666
278,0.40691777580341626,0.5192307692307693,0.25,0.1,0.5,0.3017652197446211,0.2222222222222222,0.7777777777777777,1.0
279,0.5925100986947383,0.4230769230769231,0.75,0.45,0.5,0.5353463419020653,0.6666666666666666,0.8888888888888888,1.0
280,0.47359680968980417,0.23076923076923078,0.25,0.15,0.25,0.22133016637717204,0.7777777777777777,0.5555555555555555,0.8333333333333334
